"ID","lat","lon","Agency","Bureau","Installation Name","City","State","Zip code","Real Property Type","Real Property Use","RPUID","Likely Disposition Outcome","Map Label"
3,"34.14009944","-87.36024556","Agriculture","Forest Service","NATIONAL FORESTS IN AL","DOUBLE SPRINGS","Alabama",35553,"Building","School","F1439.005781","Demolition","Excess Asset"
4,"34.14009944","-87.36024556","Agriculture","Forest Service","NATIONAL FORESTS IN AL","DOUBLE SPRINGS","Alabama",35553,"Building","All Other","F1440.005781","Demolition","Excess Asset"
5,"32.95666722","-87.46005611","Agriculture","Forest Service","NATIONAL FORESTS IN AL","MOUNDVILLE","Alabama",35474,"Building","All Other","F1522.005781","Demolition","Excess Asset"
6,"32.95666722","-87.46005611","Agriculture","Forest Service","NATIONAL FORESTS IN AL","MOUNDVILLE","Alabama",35474,"Building","Communications Systems","F1582.005781","Demolition","Excess Asset"
7,"34.14009944","-87.36024556","Agriculture","Forest Service","NATIONAL FORESTS IN AL","DOUBLE SPRINGS","Alabama",35553,"Building","Communications Systems","F2171.005781","Demolition","Excess Asset"
8,"34.10194639","-87.32076973","Agriculture","Forest Service","NATIONAL FORESTS IN AL","DOUBLE SPRINGS","Alabama",35553,"Building","Industrial","F588010402","Demolition","Excess Asset"
57,"56.17281667","-132.4573167","Agriculture","Forest Service","TONGASS NATIONAL FOREST","WRANGELL","Alaska",99929,"Building","Service","F1127.008031","Demolition","Excess Asset"
58,"60.804","-148.93","Agriculture","Forest Service","CHUGACH NATIONAL FOREST","PORTAGE","Alaska",99577,"Building","All Other","F1238.008121","Demolition","Excess Asset"
59,"60.923","-149.508","Agriculture","Forest Service","CHUGACH NATIONAL FOREST","HOPE","Alaska",99631,"Building","Other Institutional Uses","F1755.008121","Demolition","Excess Asset"
60,"60.493","-149.757","Agriculture","Forest Service","CHUGACH NATIONAL FOREST","COOPER LANDING","Alaska",99572,"Building","Service","F2045.008121","Demolition","Excess Asset"
94,"60.409","-149.365","Agriculture","Forest Service","CHUGACH NATIONAL FOREST","Moose Pass","Alaska",99631,"Building","Service","F2049.008121","Demolition","Excess Asset"
111,"57.50011389","-134.5779639","Agriculture","Forest Service","TONGASS NATIONAL FOREST","Angoon","Alaska",99820,"Building","All Other","F2004.008061","Demolition","Excess Asset"
118,"56.9694","-132.8211","Agriculture","Forest Service","TONGASS NATIONAL FOREST","Petersburg","Alaska",99833,"Building","All Other","F1072.008031","Demolition","Excess Asset"
119,"56.7125","-132.9539","Agriculture","Forest Service","TONGASS NATIONAL FOREST","Petersburg","Alaska",99833,"Building","Service","F1128.008031","Demolition","Excess Asset"
124,"57.52301667","-135.1889667","Agriculture","Forest Service","TONGASS NATIONAL FOREST","Sitka","Alaska",99835,"Building","All Other","F2011.008061","Demolition","Excess Asset"
