ITEM_NUMBER,AWARD_YEAR,ORIGIN_AIRPORT,DESTINATION_AIRPORT,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,DESTINATION_CITY_NAME,DESTINATION_STATE,DESTINATION_COUNTRY,AIRLINE_ABBREVIATION,AWARDED_SERVICE,YCA_FARE,_CA_FARE,BUSINESS_FARE,EFFECTIVE_DATE,EXPIRATION_DATE
1,2014,ABE,ATL,ALLENTOWN,PA,USA,ATLANTA,GA,USA,DL,N,520,260,0,10/1/2013 0:00,9/30/2014 0:00
2,2014,ABE,DTW,ALLENTOWN,PA,USA,DETROIT,MI,USA,DL,N,475,300,0,10/1/2013 0:00,9/30/2014 0:00
4,2014,ABE,ORD,ALLENTOWN,PA,USA,CHICAGO,IL,USA,UA,N,319,290,0,10/1/2013 0:00,9/30/2014 0:00
6,2014,ABI,ATL,ABILENE,TX,USA,ATLANTA,GA,USA,AA,C,415,0,0,10/1/2013 0:00,9/30/2014 0:00
7,2014,ABI,DCA,ABILENE,TX,USA,WASHINGTON,DC,USA,AA,C,578,289,0,10/1/2013 0:00,9/30/2014 0:00
8,2014,ABI,DFW,ABILENE,TX,USA,DALLAS-FT. WORTH,TX,USA,AA,N,205,0,0,10/1/2013 0:00,9/30/2014 0:00
9,2014,ABQ,ATL,ALBUQUERQUE,NM,USA,ATLANTA,GA,USA,WN,C,190,0,0,10/1/2013 0:00,9/30/2014 0:00
11,2014,ABQ,BNA,ALBUQUERQUE,NM,USA,NASHVILLE,TN,USA,DL,C,371,185,0,10/1/2013 0:00,9/30/2014 0:00
12,2014,ABQ,BOS,ALBUQUERQUE,NM,USA,BOSTON,MA,USA,DL,C,341,173,0,10/1/2013 0:00,9/30/2014 0:00
13,2014,ABQ,BWI,ALBUQUERQUE,NM,USA,WASHINGTON,DC,USA,WN,N,199,0,0,10/1/2013 0:00,9/30/2014 0:00
14,2014,ABQ,COS,ALBUQUERQUE,NM,USA,COLORADO SPRINGS,CO,USA,UA,C,96,0,0,10/1/2013 0:00,9/30/2014 0:00
15,2014,ABQ,DAL,ALBUQUERQUE,NM,USA,DALLAS-FT. WORTH,TX,USA,WN,N,280,0,0,10/1/2013 0:00,9/30/2014 0:00
16,2014,ABQ,DAY,ALBUQUERQUE,NM,USA,DAYTON,OH,USA,AA,C,587,294,0,10/1/2013 0:00,9/30/2014 0:00
17,2014,ABQ,DCA,ALBUQUERQUE,NM,USA,WASHINGTON,DC,USA,DL,C,272,170,0,10/1/2013 0:00,9/30/2014 0:00
18,2014,ABQ,DEN,ALBUQUERQUE,NM,USA,DENVER,CO,USA,WN,N,99,0,0,10/1/2013 0:00,9/30/2014 0:00
19,2014,ABQ,DFW,ALBUQUERQUE,NM,USA,DALLAS-FT. WORTH,TX,USA,AA,N,448,224,0,10/1/2013 0:00,9/30/2014 0:00
